  0.629462719       7.48118544      0.449201733      -2.61927582E-03  0.111399092    
  0.997631192       6.41458702      0.373532265       9.07351971E-02   8.31796080E-02
   1.58113885       4.34878397      0.345521003       2.38726903E-02   5.76072857E-02
   2.50593638       2.80660009      0.217139721      -8.52159224E-03   4.94536087E-02
   3.97164154       1.68178630      0.149423629       8.40651337E-03   4.78704236E-02
   6.29462719      0.964120269      0.165270030      -1.58555072E-03   5.58596365E-02
   9.97631073      0.875494659      0.225052640       1.24720009E-02   8.44929665E-02
   15.8113890      0.769853413      0.303006738       1.08384183E-02   9.59339887E-02
   25.0593662      0.511127114      0.399378836       6.49592429E-02  0.106764048    
   39.7164154      0.342253298      0.405194163       9.03108940E-02  0.147203892    
